name;japanese_name;classfication;abilities;type1;type2;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water;attack;base_egg_steps;base_happiness;base_total;capture_rate;defense;experience_growth;height_m;hp;percentage_male;pokedex_number;sp_attack;sp_defense;speed;weight_kg;generation;is_legendary
Bulbasaur;Fushigidaneフシギダネ;Seed Pokémon;"['Overgrow', 'Chlorophyll']";grass;poison;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;49;5120;70;318;45;49;1059860;0.7;45;88.1;1;65;65;45;6.9;1;0
Ivysaur;Fushigisouフシギソウ;Seed Pokémon;"['Overgrow', 'Chlorophyll']";grass;poison;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;62;5120;70;405;45;63;1059860;1;60;88.1;2;80;80;60;13;1;0
Venusaur;Fushigibanaフシギバナ;Seed Pokémon;"['Overgrow', 'Chlorophyll']";grass;poison;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;100;5120;70;625;45;123;1059860;2;80;88.1;3;122;120;80;100;1;0
Charmander;Hitokageヒトカゲ;Lizard Pokémon;"['Blaze', 'Solar Power']";fire;;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;52;5120;70;309;45;43;1059860;0.6;39;88.1;4;60;50;65;8.5;1;0
Charmeleon;Lizardoリザード;Flame Pokémon;"['Blaze', 'Solar Power']";fire;;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;64;5120;70;405;45;58;1059860;1.1;58;88.1;5;80;65;80;19;1;0
Charizard;Lizardonリザードン;Flame Pokémon;"['Blaze', 'Solar Power']";fire;flying;0.25;1;1;2;0.5;0.5;0.5;1;1;0.25;0;1;1;1;1;4;0.5;2;104;5120;70;634;45;78;1059860;1.7;78;88.1;6;159;115;100;90.5;1;0
Squirtle;Zenigameゼニガメ;Tiny Turtle Pokémon;"['Torrent', 'Rain Dish']";water;;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;48;5120;70;314;45;65;1059860;0.5;44;88.1;7;50;64;43;9;1;0
Wartortle;Kameilカメール;Turtle Pokémon;"['Torrent', 'Rain Dish']";water;;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;63;5120;70;405;45;80;1059860;1;59;88.1;8;65;80;58;22.5;1;0
Blastoise;Kamexカメックス;Shellfish Pokémon;"['Torrent', 'Rain Dish']";water;;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;103;5120;70;630;45;120;1059860;1.6;79;88.1;9;135;115;78;85.5;1;0
Caterpie;Caterpieキャタピー;Worm Pokémon;"['Shield Dust', 'Run Away']";bug;;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;30;3840;70;195;255;35;1000000;0.3;45;50;10;20;20;45;2.9;1;0
Metapod;Transelトランセル;Cocoon Pokémon;['Shed Skin'];bug;;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;20;3840;70;205;120;55;1000000;0.7;50;50;11;25;25;30;9.9;1;0
Butterfree;Butterfreeバタフリー;Butterfly Pokémon;"['Compoundeyes', 'Tinted Lens']";bug;flying;0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;45;3840;70;395;45;50;1000000;1.1;60;50;12;90;80;70;32;1;0
Weedle;Beedleビードル;Hairy Pokémon;"['Shield Dust', 'Run Away']";bug;poison;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;35;3840;70;195;255;30;1000000;0.3;40;50;13;20;20;50;3.2;1;0
Kakuna;Cocoonコクーン;Cocoon Pokémon;['Shed Skin'];bug;poison;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;25;3840;70;205;120;50;1000000;0.6;45;50;14;25;25;35;10;1;0
Beedrill;Spearスピアー;Poison Bee Pokémon;"['Swarm', 'Sniper']";bug;poison;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;150;3840;70;495;45;40;1000000;1;65;50;15;15;80;145;29.5;1;0
Pidgey;Poppoポッポ;Tiny Bird Pokémon;"['Keen Eye', 'Tangled Feet', 'Big Pecks']";normal;flying;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;45;3840;70;251;255;40;1059860;0.3;40;50;16;35;35;56;1.8;1;0
Pidgeotto;Pigeonピジョン;Bird Pokémon;"['Keen Eye', 'Tangled Feet', 'Big Pecks']";normal;flying;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;60;3840;70;349;120;55;1059860;1.1;63;50;17;50;50;71;30;1;0
Pidgeot;Pigeotピジョット;Bird Pokémon;"['Keen Eye', 'Tangled Feet', 'Big Pecks']";normal;flying;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;80;3840;70;579;45;80;1059860;1.5;83;50;18;135;80;121;39.5;1;0
Rattata;Korattaコラッタ;Mouse Pokémon;"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']";normal;dark;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;56;3840;70;253;255;35;1000000;;30;50;19;25;35;72;;1;0
